ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
449,simple,SRC010001,Saree,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1760,Saree,,,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2020/12/SRC010001-1.jpg,,,,,,,,,0
451,simple,SRC010002,Saree,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,1760,Saree,,,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2020/12/SRC010002-1.jpg,,,,,,,,,0
453,simple,SRC010003,Saree,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,1760,Saree,,,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2020/12/SRC010003-1.jpg,,,,,,,,,0
455,simple,SRC010004,Saree,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,2430,Saree,,,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2020/12/SRC010004-1.jpg,,,,,,,,,0
457,simple,SRC010005,Saree,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,3380,Saree,,,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2020/12/SRC010005-1.jpg,,,,,,,,,0
459,simple,SRC010006,Saree,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,3780,Saree,,,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2020/12/SRC010006-1.jpg,,,,,,,,,0
461,simple,SRC010007,Saree,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,3780,Saree,,,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2020/12/SRC010007-1.jpg,,,,,,,,,0
463,simple,SRC010008,Saree,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,1,,,3780,Saree,,,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2020/12/SRC010008-1.jpg,,,,,,,,,0
465,simple,SRC010009,Saree,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,3780,Saree,,,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2020/12/SRC010009-1.jpg,,,,,,,,,0
467,simple,SRC010010,Saree,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,3780,Saree,,,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2020/12/SRC010010-1.jpg,,,,,,,,,0
